Index,Latitude,Longitude,2018,2019
0,24.66818,71.33144,9,0
1,24.66818,71.41106,37,26
2,24.66818,71.49069,64,47
3,24.66818,71.57031,89,67
4,24.66818,71.64994,24,14
5,24.66818,71.72956,35,24
6,24.66818,71.80919,45,32
7,24.66818,71.88882,52,25
8,24.66818,71.96844,37,16
9,24.66818,72.04807,45,22
10,24.66818,72.12769,14,1
11,24.66818,72.20732,6,2
12,24.66818,72.28694,6,1
13,24.66818,72.36657,0,0
14,24.58758,71.25181,3,0
15,24.58758,71.33144,28,10
16,24.58758,71.41106,94,64
17,24.58758,71.49069,151,110
18,24.58758,71.57031,152,112
19,24.58758,71.64994,70,39
20,24.58758,71.72956,110,82
21,24.58758,71.80919,120,87
22,24.58758,71.88882,123,88
23,24.58758,71.96844,125,90
24,24.58758,72.04807,108,62
25,24.58758,72.12769,85,60
26,24.58758,72.20732,44,23
27,24.58758,72.28694,38,17
28,24.58758,72.36657,3,0
29,24.50698,71.25181,0,0
30,24.50698,71.33144,29,18
31,24.50698,71.41106,91,52
32,24.50698,71.49069,147,110
33,24.50698,71.57031,154,115
34,24.50698,71.64994,113,74
35,24.50698,71.72956,100,62
36,24.50698,71.80919,178,129
37,24.50698,71.88882,162,121
38,24.50698,71.96844,109,84
39,24.50698,72.04807,77,59
40,24.50698,72.12769,89,65
41,24.50698,72.20732,99,72
42,24.50698,72.28694,105,79
43,24.50698,72.36657,29,16
44,24.50698,72.44619,10,3
45,24.50698,72.60544,3,0
46,24.50698,72.68507,3,0
47,24.42638,71.33144,18,5
48,24.42638,71.41106,80,48
49,24.42638,71.49069,126,91
50,24.42638,71.57031,122,92
51,24.42638,71.64994,91,53
52,24.42638,71.72956,106,64
53,24.42638,71.80919,165,121
54,24.42638,71.88882,147,109
55,24.42638,71.96844,138,99
56,24.42638,72.04807,169,129
57,24.42638,72.12769,133,99
58,24.42638,72.20732,117,86
59,24.42638,72.28694,92,68
60,24.42638,72.36657,79,61
61,24.42638,72.44619,21,16
62,24.42638,72.52582,10,8
63,24.42638,72.60544,18,14
64,24.42638,72.68507,6,6
65,24.42638,73.00357,7,4
66,24.42638,73.08319,11,6
67,24.42638,73.16282,4,1
68,24.34578,71.25181,5,6
69,24.34578,71.33144,5,2
70,24.34578,71.41106,120,86
71,24.34578,71.49069,139,103
72,24.34578,71.57031,128,98
73,24.34578,71.64994,101,59
74,24.34578,71.72956,162,121
75,24.34578,71.80919,192,146
76,24.34578,71.88882,118,74
77,24.34578,71.96844,115,88
78,24.34578,72.04807,191,149
79,24.34578,72.12769,187,151
80,24.34578,72.20732,119,92
81,24.34578,72.28694,37,30
82,24.34578,72.36657,54,40
83,24.34578,72.44619,29,13
84,24.34578,72.52582,86,67
85,24.34578,72.60544,39,33
86,24.34578,72.68507,4,3
87,24.34578,73.00357,20,18
88,24.34578,73.08319,49,38
89,24.34578,73.16282,11,7
90,24.34578,73.24244,4,1
91,24.26518,71.25181,0,0
92,24.26518,71.33144,57,39
93,24.26518,71.41106,160,119
94,24.26518,71.49069,144,107
95,24.26518,71.57031,97,74
96,24.26518,71.64994,127,87
97,24.26518,71.72956,171,130
98,24.26518,71.80919,138,105
99,24.26518,71.88882,140,106
100,24.26518,71.96844,126,92
101,24.26518,72.04807,218,155
102,24.26518,72.12769,169,129
103,24.26518,72.20732,123,97
104,24.26518,72.28694,124,83
105,24.26518,72.36657,161,121
106,24.26518,72.44619,127,99
107,24.26518,72.52582,81,65
108,24.26518,72.60544,8,6
109,24.26518,72.68507,9,4
110,24.26518,72.76469,9,3
111,24.26518,72.84432,12,7
112,24.26518,72.92394,11,2
113,24.26518,73.00357,19,16
114,24.26518,73.08319,19,14
115,24.26518,73.16282,5,2
116,24.26518,73.24244,4,0
117,24.18458,71.25181,0,0
118,24.18458,71.33144,31,23
119,24.18458,71.41106,109,81
120,24.18458,71.49069,78,46
121,24.18458,71.57031,115,83
122,24.18458,71.64994,198,144
123,24.18458,71.72956,165,130
124,24.18458,71.80919,168,131
125,24.18458,71.88882,141,104
126,24.18458,71.96844,137,99
127,24.18458,72.04807,131,100
128,24.18458,72.12769,143,107
129,24.18458,72.20732,172,136
130,24.18458,72.28694,166,128
131,24.18458,72.36657,121,79
132,24.18458,72.44619,129,100
133,24.18458,72.52582,139,109
134,24.18458,72.60544,45,35
135,24.18458,72.68507,39,21
136,24.18458,72.76469,19,7
137,24.18458,72.84432,10,6
138,24.18458,72.92394,22,11
139,24.18458,73.00357,43,35
140,24.18458,73.08319,11,7
141,24.18458,73.16282,1,0
142,24.10398,71.25181,4,0
143,24.10398,71.33144,31,18
144,24.10398,71.41106,91,68
