Index,Latitude,Longitude,2018,2019
0,24.66818,71.33144,4,3
1,24.66818,71.41106,37,43
2,24.66818,71.49069,59,69
3,24.66818,71.57031,83,91
4,24.66818,71.64994,20,20
5,24.66818,71.72956,27,32
6,24.66818,71.80919,41,47
7,24.66818,71.88882,61,58
8,24.66818,71.96844,37,36
9,24.66818,72.04807,46,47
10,24.66818,72.12769,6,6
11,24.66818,72.20732,3,3
12,24.66818,72.28694,3,3
13,24.66818,72.36657,0,0
14,24.58758,71.25181,0,0
15,24.58758,71.33144,33,31
16,24.58758,71.41106,91,96
17,24.58758,71.49069,136,142
18,24.58758,71.57031,130,142
19,24.58758,71.64994,73,78
20,24.58758,71.72956,96,107
21,24.58758,71.80919,106,112
22,24.58758,71.88882,114,116
23,24.58758,71.96844,114,116
24,24.58758,72.04807,112,107
25,24.58758,72.12769,76,85
26,24.58758,72.20732,43,46
27,24.58758,72.28694,35,35
28,24.58758,72.36657,2,2
29,24.50698,71.25181,0,0
30,24.50698,71.33144,28,28
31,24.50698,71.41106,95,100
32,24.50698,71.49069,135,143
33,24.50698,71.57031,132,145
34,24.50698,71.64994,112,126
35,24.50698,71.72956,104,110
36,24.50698,71.80919,165,162
37,24.50698,71.88882,139,150
38,24.50698,71.96844,98,109
39,24.50698,72.04807,72,77
40,24.50698,72.12769,80,91
41,24.50698,72.20732,89,99
42,24.50698,72.28694,94,102
43,24.50698,72.36657,23,24
44,24.50698,72.44619,1,1
45,24.50698,72.60544,0,0
46,24.50698,72.68507,0,0
47,24.42638,71.33144,17,18
48,24.42638,71.41106,83,92
49,24.42638,71.49069,111,125
50,24.42638,71.57031,107,119
51,24.42638,71.64994,97,97
52,24.42638,71.72956,111,112
53,24.42638,71.80919,145,151
54,24.42638,71.88882,130,137
55,24.42638,71.96844,128,126
56,24.42638,72.04807,150,162
57,24.42638,72.12769,115,131
58,24.42638,72.20732,108,110
59,24.42638,72.28694,83,93
60,24.42638,72.36657,73,79
61,24.42638,72.44619,18,17
62,24.42638,72.52582,6,8
63,24.42638,72.60544,17,20
64,24.42638,72.68507,6,6
65,24.42638,73.00357,4,4
66,24.42638,73.08319,6,6
67,24.42638,73.16282,0,0
68,24.34578,71.25181,0,0
69,24.34578,71.33144,7,7
70,24.34578,71.41106,107,112
71,24.34578,71.49069,120,137
72,24.34578,71.57031,110,125
73,24.34578,71.64994,105,104
