Index,Latitude,Longitude,2018,2019
0,24.66818,71.33144,7,6
1,24.66818,71.41106,42,32
2,24.66818,71.49069,60,67
3,24.66818,71.57031,86,75
4,24.66818,71.64994,18,22
5,24.66818,71.72956,19,28
6,24.66818,71.80919,35,32
7,24.66818,71.88882,40,54
8,24.66818,71.96844,32,52
9,24.66818,72.04807,43,46
10,24.66818,72.12769,23,26
11,24.66818,72.20732,2,5
12,24.66818,72.28694,6,5
13,24.66818,72.36657,1,2
14,24.58758,71.25181,1,0
15,24.58758,71.33144,34,22
16,24.58758,71.41106,67,87
17,24.58758,71.49069,125,130
18,24.58758,71.57031,113,113
19,24.58758,71.64994,89,72
20,24.58758,71.72956,91,101
21,24.58758,71.80919,101,101
22,24.58758,71.88882,109,107
23,24.58758,71.96844,99,105
24,24.58758,72.04807,115,115
25,24.58758,72.12769,81,82
26,24.58758,72.20732,56,63
27,24.58758,72.28694,48,45
28,24.58758,72.36657,5,1
29,24.50698,71.25181,1,1
30,24.50698,71.33144,23,20
31,24.50698,71.41106,68,62
32,24.50698,71.49069,130,128
33,24.50698,71.57031,102,120
34,24.50698,71.64994,117,115
35,24.50698,71.72956,117,134
36,24.50698,71.80919,148,139
37,24.50698,71.88882,144,136
38,24.50698,71.96844,112,116
39,24.50698,72.04807,70,85
40,24.50698,72.12769,78,89
41,24.50698,72.20732,82,92
42,24.50698,72.28694,104,79
43,24.50698,72.36657,23,21
44,24.50698,72.44619,2,0
45,24.50698,72.60544,4,2
46,24.50698,72.68507,2,1
47,24.42638,71.33144,12,15
48,24.42638,71.41106,80,85
49,24.42638,71.49069,109,123
50,24.42638,71.57031,100,125
51,24.42638,71.64994,96,96
52,24.42638,71.72956,97,109
53,24.42638,71.80919,133,138
54,24.42638,71.88882,103,115
55,24.42638,71.96844,110,134
56,24.42638,72.04807,113,116
57,24.42638,72.12769,114,100
58,24.42638,72.20732,82,78
59,24.42638,72.28694,72,83
60,24.42638,72.36657,123,116
61,24.42638,72.44619,20,24
62,24.42638,72.52582,20,19
63,24.42638,72.60544,27,25
64,24.42638,72.68507,12,11
65,24.42638,73.00357,3,3
66,24.42638,73.08319,10,6
67,24.42638,73.16282,0,0
68,24.34578,71.25181,0,1
69,24.34578,71.33144,6,9
70,24.34578,71.41106,110,114
71,24.34578,71.49069,126,137
72,24.34578,71.57031,112,124
73,24.34578,71.64994,114,95
74,24.34578,71.72956,146,157
75,24.34578,71.80919,157,188
76,24.34578,71.88882,111,122
77,24.34578,71.96844,118,123
78,24.34578,72.04807,210,187
79,24.34578,72.12769,177,155
80,24.34578,72.20732,90,88
81,24.34578,72.28694,53,41
82,24.34578,72.36657,47,59
83,24.34578,72.44619,37,31
84,24.34578,72.52582,69,65
85,24.34578,72.60544,27,39
86,24.34578,72.68507,9,10
87,24.34578,73.00357,16,17
88,24.34578,73.08319,39,40
89,24.34578,73.16282,7,11
90,24.34578,73.24244,0,0
91,24.26518,71.25181,0,0
92,24.26518,71.33144,57,49
93,24.26518,71.41106,183,156
94,24.26518,71.49069,141,124
95,24.26518,71.57031,91,107
96,24.26518,71.64994,132,117
97,24.26518,71.72956,140,157
98,24.26518,71.80919,146,168
99,24.26518,71.88882,98,107
100,24.26518,71.96844,133,105
101,24.26518,72.04807,189,154
102,24.26518,72.12769,152,153
103,24.26518,72.20732,124,100
104,24.26518,72.28694,111,108
105,24.26518,72.36657,130,115
106,24.26518,72.44619,96,87
107,24.26518,72.52582,79,84
108,24.26518,72.60544,11,13
109,24.26518,72.68507,10,11
110,24.26518,72.76469,1,2
111,24.26518,72.84432,3,6
112,24.26518,72.92394,10,3
113,24.26518,73.00357,20,16
114,24.26518,73.08319,21,21
115,24.26518,73.16282,1,1
116,24.26518,73.24244,0,0
117,24.18458,71.25181,2,1
118,24.18458,71.33144,29,40
119,24.18458,71.41106,71,74
120,24.18458,71.49069,80,72
121,24.18458,71.57031,81,74
122,24.18458,71.64994,156,135
123,24.18458,71.72956,138,133
124,24.18458,71.80919,151,155
125,24.18458,71.88882,149,133
126,24.18458,71.96844,136,96
127,24.18458,72.04807,111,88
128,24.18458,72.12769,126,102
129,24.18458,72.20732,136,120
130,24.18458,72.28694,139,149
131,24.18458,72.36657,133,113
132,24.18458,72.44619,94,91
133,24.18458,72.52582,108,111
134,24.18458,72.60544,48,65
135,24.18458,72.68507,45,36
136,24.18458,72.76469,7,7
137,24.18458,72.84432,4,3
138,24.18458,72.92394,29,18
139,24.18458,73.00357,39,38
140,24.18458,73.08319,11,8
141,24.18458,73.16282,1,0
142,24.10398,71.25181,1,2
143,24.10398,71.33144,33,36
144,24.10398,71.41106,59,68
145,24.10398,71.49069,113,106
146,24.10398,71.57031,117,110
147,24.10398,71.64994,172,161
148,24.10398,71.72956,123,124
149,24.10398,71.80919,119,88
150,24.10398,71.88882,117,117
151,24.10398,71.96844,101,123
152,24.10398,72.04807,98,118
153,24.10398,72.12769,127,114
154,24.10398,72.20732,142,149
155,24.10398,72.28694,158,160
156,24.10398,72.36657,131,136
157,24.10398,72.44619,114,114
158,24.10398,72.52582,131,131
159,24.10398,72.60544,90,122
160,24.10398,72.68507,33,54
161,24.10398,72.76469,8,15
162,24.10398,72.84432,6,4
163,24.10398,72.92394,36,32
164,24.10398,73.00357,183,146
165,24.10398,73.08319,70,53
166,24.10398,73.16282,25,27
167,24.10398,73.24244,0,0
168,24.02338,71.25181,1,0
169,24.02338,71.33144,20,27
170,24.02338,71.41106,75,76
171,24.02338,71.49069,84,90
172,24.02338,71.57031,76,126
173,24.02338,71.64994,144,164
174,24.02338,71.72956,108,141
175,24.02338,71.80919,127,101
176,24.02338,71.88882,115,147
177,24.02338,71.96844,129,130
178,24.02338,72.04807,162,150
179,24.02338,72.12769,165,148
180,24.02338,72.20732,189,151
181,24.02338,72.28694,174,158
182,24.02338,72.36657,122,127
183,24.02338,72.44619,99,127
184,24.02338,72.52582,98,125
185,24.02338,72.60544,65,93
186,24.02338,72.68507,64,62
187,24.02338,72.76469,39,46
188,24.02338,72.84432,9,11
189,24.02338,72.92394,69,68
190,24.02338,73.00357,168,182
191,24.02338,73.08319,177,163
192,24.02338,73.16282,56,66
193,24.02338,73.24244,19,21
194,24.02338,73.32207,3,2
195,24.02338,73.40169,3,2
196,23.94278,70.13706,2,1
197,23.94278,70.21669,7,4
198,23.94278,70.37594,2,2
199,23.94278,70.45556,7,11
200,23.94278,70.53519,8,29
201,23.94278,70.61481,2,17
202,23.94278,70.69444,0,1
203,23.94278,70.77406,4,0
204,23.94278,70.85369,6,4
205,23.94278,71.01294,3,4
206,23.94278,71.09256,1,1
207,23.94278,71.25181,2,1
208,23.94278,71.33144,59,71
209,23.94278,71.41106,59,55
210,23.94278,71.49069,67,50
211,23.94278,71.57031,116,94
212,23.94278,71.64994,195,201
213,23.94278,71.72956,145,144
214,23.94278,71.80919,82,98
215,23.94278,71.88882,53,89
216,23.94278,71.96844,118,131
217,23.94278,72.04807,152,150
218,23.94278,72.12769,172,132
219,23.94278,72.20732,191,160
220,23.94278,72.28694,195,147
221,23.94278,72.36657,158,152
222,23.94278,72.44619,154,184
223,23.94278,72.52582,149,176
224,23.94278,72.60544,116,112
225,23.94278,72.68507,150,127
226,23.94278,72.76469,120,132
227,23.94278,72.84432,110,104
228,23.94278,72.92394,191,189
229,23.94278,73.00357,290,243
230,23.94278,73.08319,268,243
231,23.94278,73.16282,71,71
232,23.94278,73.24244,15,22
233,23.94278,73.32207,23,21
234,23.94278,73.40169,12,11
235,23.86218,70.13706,1,12
236,23.86218,70.21669,14,13
237,23.86218,70.29631,11,7
238,23.86218,70.37594,9,7
239,23.86218,70.45556,7,20
240,23.86218,70.53519,35,49
241,23.86218,70.61481,123,106
242,23.86218,70.69444,23,25
243,23.86218,70.77406,2,2
244,23.86218,70.85369,0,0
245,23.86218,71.01294,5,2
246,23.86218,71.09256,9,7
247,23.86218,71.17219,7,4
248,23.86218,71.25181,12,9
249,23.86218,71.33144,85,86
250,23.86218,71.41106,66,41
251,23.86218,71.49069,70,98
252,23.86218,71.57031,147,132
253,23.86218,71.64994,173,142
254,23.86218,71.72956,103,91
255,23.86218,71.80919,115,69
256,23.86218,71.88882,111,119
257,23.86218,71.96844,179,176
258,23.86218,72.04807,210,219
259,23.86218,72.12769,203,188
260,23.86218,72.20732,228,182
261,23.86218,72.28694,257,198
262,23.86218,72.36657,241,194
263,23.86218,72.44619,199,162
264,23.86218,72.52582,155,165
265,23.86218,72.60544,143,143
266,23.86218,72.68507,147,164
267,23.86218,72.76469,134,160
268,23.86218,72.84432,261,268
