Index,Latitude,Longitude,2018,2019
0,24.66818,71.33144,6,7
1,24.66818,71.41106,42,44
2,24.66818,71.49069,75,78
3,24.66818,71.57031,93,92
4,24.66818,71.64994,27,28
5,24.66818,71.72956,43,44
6,24.66818,71.80919,50,50
7,24.66818,71.88882,40,51
8,24.66818,71.96844,36,35
9,24.66818,72.04807,43,36
10,24.66818,72.12769,14,17
11,24.66818,72.20732,11,13
12,24.66818,72.28694,7,8
13,24.66818,72.36657,3,3
14,24.58758,71.25181,1,2
15,24.58758,71.33144,23,24
16,24.58758,71.41106,83,87
17,24.58758,71.49069,143,141
18,24.58758,71.57031,151,140
19,24.58758,71.64994,90,90
20,24.58758,71.72956,126,128
21,24.58758,71.80919,125,127
22,24.58758,71.88882,104,112
23,24.58758,71.96844,118,127
24,24.58758,72.04807,116,123
25,24.58758,72.12769,76,78
26,24.58758,72.20732,46,52
27,24.58758,72.28694,45,55
28,24.58758,72.36657,11,17
29,24.50698,71.25181,1,1
30,24.50698,71.33144,29,31
31,24.50698,71.41106,95,97
32,24.50698,71.49069,126,127
33,24.50698,71.57031,147,143
34,24.50698,71.64994,125,122
35,24.50698,71.72956,108,108
36,24.50698,71.80919,154,156
37,24.50698,71.88882,177,183
38,24.50698,71.96844,123,135
39,24.50698,72.04807,89,99
40,24.50698,72.12769,87,89
41,24.50698,72.20732,93,101
42,24.50698,72.28694,103,108
43,24.50698,72.36657,36,41
44,24.50698,72.44619,5,5
45,24.50698,72.60544,2,2
46,24.50698,72.68507,3,5
47,24.42638,71.33144,14,17
48,24.42638,71.41106,90,91
49,24.42638,71.49069,123,131
50,24.42638,71.57031,120,118
51,24.42638,71.64994,109,116
52,24.42638,71.72956,106,106
53,24.42638,71.80919,166,165
54,24.42638,71.88882,155,150
55,24.42638,71.96844,132,141
56,24.42638,72.04807,163,168
57,24.42638,72.12769,128,131
58,24.42638,72.20732,106,113
59,24.42638,72.28694,91,98
60,24.42638,72.36657,79,83
61,24.42638,72.44619,20,27
62,24.42638,72.52582,18,25
63,24.42638,72.60544,30,34
64,24.42638,72.68507,11,16
65,24.42638,73.00357,9,12
66,24.42638,73.08319,16,24
67,24.42638,73.16282,4,7
68,24.34578,71.25181,3,10
69,24.34578,71.33144,9,13
70,24.34578,71.41106,85,77
71,24.34578,71.49069,122,112
72,24.34578,71.57031,133,130
73,24.34578,71.64994,116,117
74,24.34578,71.72956,154,149
75,24.34578,71.80919,196,192
76,24.34578,71.88882,133,131
77,24.34578,71.96844,117,116
78,24.34578,72.04807,211,219
79,24.34578,72.12769,212,219
80,24.34578,72.20732,116,110
81,24.34578,72.28694,50,57
82,24.34578,72.36657,61,73
83,24.34578,72.44619,35,46
84,24.34578,72.52582,99,114
85,24.34578,72.60544,51,61
86,24.34578,72.68507,7,10
87,24.34578,73.00357,29,42
88,24.34578,73.08319,71,103
89,24.34578,73.16282,26,54
90,24.34578,73.24244,5,12
91,24.26518,71.25181,2,7
92,24.26518,71.33144,50,58
93,24.26518,71.41106,136,124
94,24.26518,71.49069,137,129
95,24.26518,71.57031,101,95
96,24.26518,71.64994,145,136
97,24.26518,71.72956,198,191
98,24.26518,71.80919,156,152
99,24.26518,71.88882,141,137
100,24.26518,71.96844,125,126
101,24.26518,72.04807,208,224
102,24.26518,72.12769,176,176
103,24.26518,72.20732,138,140
104,24.26518,72.28694,139,146
105,24.26518,72.36657,170,191
106,24.26518,72.44619,133,157
107,24.26518,72.52582,89,117
108,24.26518,72.60544,17,35
109,24.26518,72.68507,12,24
110,24.26518,72.76469,13,32
111,24.26518,72.84432,39,87
112,24.26518,72.92394,11,25
113,24.26518,73.00357,35,58
114,24.26518,73.08319,35,68
115,24.26518,73.16282,5,24
116,24.26518,73.24244,3,10
117,24.18458,71.25181,2,6
118,24.18458,71.33144,46,53
119,24.18458,71.41106,114,105
120,24.18458,71.49069,92,90
121,24.18458,71.57031,123,124
122,24.18458,71.64994,197,198
123,24.18458,71.72956,201,188
124,24.18458,71.80919,203,205
125,24.18458,71.88882,161,168
126,24.18458,71.96844,160,170
127,24.18458,72.04807,171,182
128,24.18458,72.12769,174,200
129,24.18458,72.20732,183,192
130,24.18458,72.28694,161,187
131,24.18458,72.36657,116,121
132,24.18458,72.44619,123,144
133,24.18458,72.52582,134,164
134,24.18458,72.60544,63,96
135,24.18458,72.68507,49,65
136,24.18458,72.76469,23,41
137,24.18458,72.84432,26,50
138,24.18458,72.92394,36,62
139,24.18458,73.00357,60,82
140,24.18458,73.08319,12,18
141,24.18458,73.16282,0,0
142,24.10398,71.25181,5,6
143,24.10398,71.33144,44,44
144,24.10398,71.41106,94,79
145,24.10398,71.49069,119,113
146,24.10398,71.57031,151,151
147,24.10398,71.64994,195,210
148,24.10398,71.72956,174,178
149,24.10398,71.80919,176,192
150,24.10398,71.88882,159,172
151,24.10398,71.96844,155,170
152,24.10398,72.04807,181,195
153,24.10398,72.12769,203,230
154,24.10398,72.20732,173,195
155,24.10398,72.28694,167,172
156,24.10398,72.36657,86,80
157,24.10398,72.44619,98,104
158,24.10398,72.52582,167,193
159,24.10398,72.60544,150,182
160,24.10398,72.68507,72,96
161,24.10398,72.76469,19,25
162,24.10398,72.84432,13,16
163,24.10398,72.92394,85,111
164,24.10398,73.00357,233,256
165,24.10398,73.08319,83,84
166,24.10398,73.16282,24,9
167,24.10398,73.24244,0,0
168,24.02338,71.25181,2,2
169,24.02338,71.33144,18,24
170,24.02338,71.41106,81,68
171,24.02338,71.49069,119,110
172,24.02338,71.57031,143,161
173,24.02338,71.64994,223,243
174,24.02338,71.72956,176,192
175,24.02338,71.80919,185,209
176,24.02338,71.88882,176,179
177,24.02338,71.96844,170,180
178,24.02338,72.04807,215,208
179,24.02338,72.12769,218,249
180,24.02338,72.20732,195,211
181,24.02338,72.28694,130,130
182,24.02338,72.36657,98,99
183,24.02338,72.44619,139,146
184,24.02338,72.52582,120,137
185,24.02338,72.60544,129,147
186,24.02338,72.68507,108,124
187,24.02338,72.76469,70,81
188,24.02338,72.84432,22,26
189,24.02338,72.92394,97,106
190,24.02338,73.00357,249,252
191,24.02338,73.08319,189,179
192,24.02338,73.16282,75,83
193,24.02338,73.24244,28,32
194,24.02338,73.32207,1,2
195,24.02338,73.40169,1,2
196,23.94278,70.13706,4,7
197,23.94278,70.21669,9,13
198,23.94278,70.37594,13,20
199,23.94278,70.45556,14,14
200,23.94278,70.53519,28,27
201,23.94278,70.61481,26,26
202,23.94278,70.69444,8,14
203,23.94278,70.77406,1,1
204,23.94278,70.85369,5,6
205,23.94278,71.01294,6,9
206,23.94278,71.09256,1,1
207,23.94278,71.25181,6,8
208,23.94278,71.33144,93,81
209,23.94278,71.41106,93,85
210,23.94278,71.49069,69,70
211,23.94278,71.57031,102,120
212,23.94278,71.64994,250,263
213,23.94278,71.72956,187,217
214,23.94278,71.80919,149,175
215,23.94278,71.88882,91,105
216,23.94278,71.96844,142,143
217,23.94278,72.04807,101,121
218,23.94278,72.12769,179,212
219,23.94278,72.20732,186,201
220,23.94278,72.28694,142,156
221,23.94278,72.36657,137,131
222,23.94278,72.44619,134,142
223,23.94278,72.52582,174,182
224,23.94278,72.60544,167,180
225,23.94278,72.68507,178,176
226,23.94278,72.76469,136,145
227,23.94278,72.84432,141,150
228,23.94278,72.92394,215,232
229,23.94278,73.00357,326,333
230,23.94278,73.08319,246,247
231,23.94278,73.16282,113,138
232,23.94278,73.24244,26,27
233,23.94278,73.32207,28,44
234,23.94278,73.40169,11,18
235,23.86218,70.13706,6,9
236,23.86218,70.21669,26,29
237,23.86218,70.29631,30,33
238,23.86218,70.37594,28,35
239,23.86218,70.45556,25,28
240,23.86218,70.53519,38,39
241,23.86218,70.61481,122,116
242,23.86218,70.69444,75,74
243,23.86218,70.77406,10,13
244,23.86218,70.85369,2,1
245,23.86218,71.01294,3,8
246,23.86218,71.09256,8,16
247,23.86218,71.17219,4,11
248,23.86218,71.25181,21,25
249,23.86218,71.33144,120,108
250,23.86218,71.41106,92,81
251,23.86218,71.49069,106,103
252,23.86218,71.57031,128,145
253,23.86218,71.64994,196,218
254,23.86218,71.72956,170,199
255,23.86218,71.80919,132,158
256,23.86218,71.88882,129,140
257,23.86218,71.96844,193,207
258,23.86218,72.04807,191,204
259,23.86218,72.12769,198,229
260,23.86218,72.20732,182,189
261,23.86218,72.28694,160,170
262,23.86218,72.36657,190,193
263,23.86218,72.44619,208,226
264,23.86218,72.52582,150,158
265,23.86218,72.60544,172,183
266,23.86218,72.68507,236,243
